0.010	-0.017	-0.059	0.019	-0.000	-0.000	0.120	0.056	0.725	0.059	0.000	-0.002	0.747	0.053	0.121	0.652	0.059	0.000	-0.002	-0.013	0.009	0.000	0.065	-0.058	-0.010	0.498	0.466	0.514	0.418	0.089	0.231	0.730	0.010	0.746	0.065	0.131	0.650	0.063	-0.000	0.000	0.737	0.007	0.001	0.012	0.004	0.071	-0.052	-0.009	0.084	0.002	
0.019	-0.001	-0.065	0.007	0.003	-0.000	0.133	0.055	0.725	0.019	0.012	-0.002	0.746	0.063	0.129	0.650	0.019	0.012	-0.002	0.001	-0.001	-0.000	0.055	-0.032	-0.014	0.634	0.210	0.590	0.328	0.074	0.231	0.720	0.013	0.748	0.034	0.129	0.651	-0.066	0.061	-0.006	0.721	0.007	0.001	0.017	0.008	0.054	-0.032	-0.014	0.084	0.002	
0.019	-0.001	-0.061	-0.018	0.022	-0.003	0.128	0.071	0.727	-0.060	0.065	-0.011	0.745	0.048	0.138	0.651	-0.060	0.065	-0.011	0.006	-0.004	-0.001	0.032	-0.010	-0.015	0.394	0.458	0.374	0.408	0.044	0.231	0.700	0.016	0.747	0.006	0.126	0.653	-0.136	0.073	-0.007	0.705	0.007	0.001	0.013	0.001	0.033	-0.011	-0.015	0.084	0.002	
0.018	-0.002	-0.059	-0.028	0.014	-0.002	0.108	0.083	0.727	-0.094	0.049	-0.006	0.746	0.025	0.133	0.652	-0.094	0.049	-0.006	0.009	-0.004	-0.002	0.016	0.006	-0.014	0.494	0.342	0.430	0.350	0.021	0.231	0.700	0.014	0.746	-0.009	0.126	0.654	-0.112	0.064	-0.005	0.703	0.013	0.003	0.015	0.007	0.016	0.005	-0.013	0.053	0.010	
0.018	-0.002	-0.059	-0.026	0.010	-0.000	0.084	0.094	0.729	-0.087	0.034	-0.002	0.745	-0.000	0.126	0.655	-0.087	0.034	-0.002	0.011	-0.004	-0.002	0.004	0.019	-0.012	0.426	0.388	0.470	0.352	0.017	0.231	0.700	0.013	0.745	-0.020	0.128	0.654	-0.053	0.051	-0.004	0.705	0.013	0.003	0.014	0.010	0.004	0.018	-0.012	0.053	0.010	
0.017	-0.003	-0.059	-0.014	0.011	-0.000	0.067	0.104	0.730	-0.046	0.038	-0.000	0.744	-0.019	0.122	0.657	-0.046	0.038	-0.000	0.011	-0.002	-0.003	-0.004	0.029	-0.012	0.422	0.380	0.476	0.364	0.026	0.231	0.700	0.012	0.744	-0.028	0.131	0.655	-0.008	0.049	-0.003	0.706	0.013	0.003	0.015	0.007	-0.004	0.029	-0.011	0.053	0.010	
-0.001	-0.009	-0.060	-0.004	0.008	-0.000	0.060	0.114	0.731	-0.010	0.021	-0.000	0.743	-0.031	0.124	0.657	-0.010	0.021	-0.000	0.011	-0.000	-0.003	-0.006	0.014	-0.007	0.166	0.676	0.226	0.572	0.024	0.231	0.700	0.009	0.744	-0.008	0.118	0.658	0.040	-0.058	0.003	0.705	0.013	0.003	0.017	0.003	-0.006	0.015	-0.007	0.053	0.010	
-0.001	-0.008	-0.060	0.009	-0.032	0.002	0.063	0.094	0.730	0.031	-0.107	0.008	0.744	-0.015	0.111	0.658	0.031	-0.107	0.008	0.011	0.000	-0.003	-0.006	-0.006	-0.003	0.508	0.312	0.544	0.312	0.006	0.231	0.710	0.004	0.744	0.015	0.101	0.660	0.055	-0.109	0.007	0.711	0.006	0.003	0.013	0.009	-0.006	-0.006	-0.003	0.020	0.001	
-0.001	-0.009	-0.060	0.010	-0.018	0.001	0.072	0.079	0.729	0.032	-0.059	0.005	0.745	0.001	0.106	0.659	0.032	-0.059	0.005	0.011	-0.002	-0.002	-0.008	-0.023	0.000	0.394	0.486	0.428	0.450	0.018	0.231	0.720	0.001	0.745	0.022	0.092	0.660	0.029	-0.089	0.006	0.721	0.006	0.003	0.014	0.000	-0.007	-0.021	0.000	0.020	0.001	
0.000	-0.008	-0.060	0.006	-0.016	0.001	0.078	0.063	0.728	0.021	-0.051	0.005	0.746	0.016	0.099	0.659	0.021	-0.051	0.005	0.010	-0.004	-0.002	-0.010	-0.034	0.002	0.470	0.438	0.476	0.422	0.032	0.231	0.720	-0.001	0.746	0.029	0.082	0.661	-0.002	-0.073	0.005	0.727	0.006	0.003	0.014	0.013	-0.010	-0.034	0.001	0.020	0.001	
0.000	-0.009	-0.061	-0.001	-0.014	0.002	0.080	0.052	0.727	-0.003	-0.046	0.005	0.746	0.025	0.092	0.659	-0.003	-0.046	0.005	0.009	-0.008	-0.001	-0.013	-0.044	0.002	0.474	0.444	0.460	0.454	0.042	0.231	0.720	-0.002	0.746	0.032	0.073	0.661	-0.024	-0.068	0.005	0.729	0.006	0.003	0.014	0.006	-0.013	-0.043	0.002	0.020	0.001	
0.008	-0.001	-0.060	-0.008	-0.013	0.001	0.077	0.040	0.727	-0.024	-0.043	0.004	0.747	0.031	0.081	0.659	-0.024	-0.043	0.004	0.007	-0.012	0.000	-0.024	-0.040	0.005	0.552	0.366	0.564	0.396	0.047	0.231	0.730	-0.004	0.747	0.018	0.066	0.661	-0.069	-0.015	0.001	0.735	0.004	0.003	0.015	0.007	-0.024	-0.039	0.004	0.041	-0.004	
0.007	-0.001	-0.061	-0.017	0.006	0.000	0.067	0.040	0.727	-0.056	0.021	0.000	0.747	0.023	0.074	0.660	-0.056	0.021	0.000	0.005	-0.016	0.001	-0.035	-0.033	0.006	0.528	0.464	0.490	0.486	0.050	0.231	0.740	-0.006	0.747	-0.003	0.054	0.663	-0.066	0.001	-0.000	0.746	0.004	0.003	0.016	0.010	-0.034	-0.033	0.005	0.041	-0.004	
0.007	-0.002	-0.062	-0.020	0.001	-0.000	0.051	0.043	0.727	-0.066	0.004	-0.001	0.747	0.010	0.066	0.661	-0.066	0.004	-0.001	0.001	-0.019	0.002	-0.043	-0.028	0.006	0.498	0.492	0.534	0.452	0.053	0.231	0.740	-0.005	0.747	-0.008	0.051	0.663	-0.034	-0.000	0.000	0.747	0.004	0.003	0.021	0.003	-0.042	-0.027	0.005	0.041	-0.004	
0.007	-0.002	-0.062	-0.016	0.001	0.001	0.036	0.043	0.727	-0.053	0.003	0.002	0.747	-0.002	0.056	0.662	-0.053	0.003	0.002	-0.004	-0.021	0.003	-0.048	-0.023	0.004	0.488	0.496	0.534	0.452	0.053	0.231	0.740	-0.004	0.747	-0.011	0.048	0.663	-0.012	-0.002	0.000	0.747	0.006	0.009	0.012	0.023	-0.047	-0.023	0.004	0.052	-0.008	
0.007	-0.002	-0.062	-0.008	-0.000	0.000	0.026	0.044	0.727	-0.026	0.000	0.001	0.747	-0.009	0.050	0.663	-0.026	0.000	0.001	-0.008	-0.024	0.004	-0.049	-0.019	0.003	0.620	0.420	0.710	0.356	0.041	0.231	0.760	-0.007	0.747	-0.011	0.076	0.661	0.062	0.062	-0.002	0.766	0.006	0.009	0.014	0.012	-0.049	-0.019	0.003	0.052	-0.008	
0.018	-0.014	-0.060	0.018	0.026	-0.001	0.021	0.042	0.727	-0.006	-0.010	0.001	0.747	-0.012	0.045	0.664	-0.006	-0.010	0.001	-0.012	-0.026	0.006	-0.033	-0.003	0.009	0.604	0.544	0.648	0.512	0.022	0.231	0.780	-0.010	0.746	-0.013	0.104	0.658	0.113	0.117	-0.004	0.790	0.006	0.009	0.013	0.008	-0.034	-0.004	0.008	0.052	-0.008	
0.019	-0.014	-0.063	0.026	0.022	-0.000	0.047	0.075	0.729	0.085	0.070	-0.002	0.746	-0.015	0.087	0.661	0.085	0.070	-0.002	-0.014	-0.025	0.007	-0.013	0.015	0.010	0.586	0.568	0.634	0.550	0.025	0.231	0.790	-0.007	0.745	-0.014	0.121	0.655	0.091	0.092	-0.005	0.793	0.006	0.009	0.014	0.005	-0.013	0.015	0.009	0.052	-0.008	
0.018	-0.014	-0.062	0.022	0.016	-0.002	0.069	0.090	0.730	0.073	0.053	-0.005	0.745	-0.009	0.113	0.658	0.073	0.053	-0.005	-0.014	-0.023	0.008	0.004	0.031	0.004	0.590	0.538	0.614	0.504	0.040	0.231	0.780	0.001	0.745	-0.016	0.133	0.654	0.042	0.074	-0.005	0.780	0.011	0.010	0.013	0.005	0.002	0.029	0.004	0.020	-0.013	
0.018	-0.014	-0.061	0.005	0.014	-0.002	0.080	0.102	0.730	0.014	0.047	-0.007	0.744	-0.009	0.129	0.655	0.014	0.047	-0.007	-0.014	-0.020	0.009	0.015	0.041	-0.003	0.572	0.514	0.554	0.482	0.051	0.231	0.760	0.007	0.744	-0.020	0.141	0.653	0.003	0.060	-0.004	0.766	0.011	0.010	0.012	0.010	0.022	0.049	-0.009	0.020	-0.013	
-0.003	0.000	-0.058	0.005	0.009	-0.001	0.082	0.115	0.731	0.014	0.026	-0.003	0.744	-0.015	0.140	0.654	0.014	0.026	-0.003	-0.011	-0.013	0.009	0.009	0.034	-0.003	0.502	0.574	0.370	0.598	0.044	0.231	0.750	0.006	0.744	-0.015	0.109	0.659	-0.066	-0.070	0.004	0.756	0.011	0.010	0.012	0.001	0.009	0.033	-0.003	0.020	-0.013	
