2.409	0.000	0.129	1.351	0.010	0.400	2.094	0.350	
1.714	0.010	0.500	1.880	0.010	0.484	1.714	0.040	
1.886	0.000	0.100	1.169	0.010	0.100	1.564	0.400	
1.803	0.010	0.100	1.540	0.000	0.100	1.710	0.040	
1.218	0.000	0.283	1.545	0.010	0.100	1.549	0.040	
1.499	0.000	0.500	1.829	0.000	0.178	1.810	0.040	
1.095	0.010	0.500	1.769	0.000	0.100	1.471	0.347	
0.966	0.010	0.316	1.995	0.000	0.426	1.982	0.090	
1.404	0.000	0.500	1.710	0.000	0.100	1.466	0.338	
1.633	0.000	0.100	1.424	0.010	0.500	1.731	0.040	
1.960	0.010	0.500	1.340	0.000	0.284	2.333	0.217	
1.632	0.000	0.191	1.884	0.010	0.482	1.274	0.040	
1.642	0.000	0.356	1.346	0.010	0.100	2.234	0.045	
1.980	0.010	0.100	1.481	0.010	0.151	1.777	0.040	
2.145	0.010	0.188	1.367	0.000	0.228	1.662	0.400	
1.624	0.000	0.500	1.476	0.000	0.100	1.982	0.134	
2.189	0.000	0.100	1.870	0.010	0.100	2.011	0.400	
1.527	0.010	0.471	1.593	0.000	0.177	2.506	0.400	
1.503	0.010	0.500	1.517	0.000	0.500	1.491	0.400	
1.538	0.010	0.480	1.200	0.000	0.364	1.765	0.400	
1.807	0.000	0.100	1.151	0.010	0.500	1.455	0.363	
1.460	0.010	0.100	1.701	0.000	0.500	2.019	0.152	
1.304	0.000	0.100	1.906	0.010	0.100	2.249	0.321	
2.048	0.010	0.500	1.821	0.000	0.425	1.703	0.400	
2.023	0.010	0.500	1.921	0.010	0.230	1.655	0.400	
1.492	0.010	0.500	1.482	0.010	0.100	2.496	0.321	
1.533	0.010	0.500	1.536	0.010	0.100	1.610	0.040	
2.008	0.010	0.500	1.902	0.000	0.393	1.679	0.132	
1.257	0.009	0.186	1.018	0.000	0.317	1.846	0.307	
1.935	0.010	0.426	2.293	0.010	0.500	1.532	0.400	
1.430	0.000	0.100	1.808	0.010	0.334	1.966	0.040	
2.073	0.000	0.166	1.777	0.010	0.354	1.610	0.400	
1.782	0.000	0.110	1.764	0.010	0.500	1.850	0.260	
1.839	0.010	0.121	1.683	0.010	0.500	1.412	0.040	
1.944	0.010	0.100	1.920	0.010	0.100	1.432	0.400	
1.656	0.000	0.100	1.169	0.000	0.100	1.194	0.388	
1.936	0.000	0.471	2.078	0.010	0.100	1.690	0.167	
