0.494	1.222	3251.727
0.482	1.394	1349.915
0.490	1.398	1633.555
0.503	1.206	1451.475
0.497	1.374	1613.680
0.539	1.359	1310.485
0.470	1.510	1281.327
0.524	1.643	1262.763
0.517	1.287	1580.629
0.482	1.157	1875.009
0.493	1.146	1469.354
0.531	1.315	1282.205
0.432	0.999	2564.594
0.540	1.116	1405.098
0.477	1.529	3108.343
0.439	1.282	2079.294
0.562	1.223	1265.631
0.586	1.585	957.934
0.520	1.159	2034.348
0.496	1.383	1628.907
0.466	1.200	2336.741
0.485	1.271	1748.897
0.538	1.762	2542.618
0.474	1.438	2044.963
0.501	1.658	1695.020
0.623	1.593	867.316
0.536	1.203	1489.260
0.532	1.579	2665.393
0.494	1.046	1693.019
0.464	1.496	1534.867
0.528	1.972	1647.457
0.576	1.657	1028.555
0.414	1.479	3123.997
0.474	1.090	1822.871
0.528	1.381	1429.663
0.495	1.388	1691.965
0.447	0.967	2096.065
0.536	1.189	1604.753
0.575	1.749	1433.728
0.546	1.946	928.025
0.569	1.501	1577.480
0.488	1.073	1570.736
0.536	1.871	1596.599
0.484	1.174	1749.368
0.542	1.644	1439.729
0.571	1.254	1194.612
0.605	1.515	1049.023
0.530	1.389	1336.025
0.452	1.355	2170.872
0.468	1.704	1998.313
0.534	1.148	2070.863
0.484	1.912	1663.548
0.511	1.133	2035.474
0.517	1.239	1752.216
0.528	1.386	1384.961
0.447	1.820	1983.206
0.506	1.808	1876.758
0.478	1.304	1599.178
0.565	1.282	1523.613
0.555	1.833	1228.049
0.514	1.503	2181.944
0.497	1.360	1239.281
0.484	1.697	1996.195
0.571	1.278	1230.336
0.560	1.352	1825.381
0.515	1.890	1020.023
0.490	1.157	2360.196
0.465	1.055	1866.116
0.546	1.872	1313.105
0.465	1.706	1947.320
0.419	1.349	1825.359
0.481	1.317	1579.936
0.506	1.408	1679.747
0.435	1.151	1818.550
0.484	1.213	1779.946
0.506	1.150	1818.277
0.567	1.376	1532.701
0.419	1.081	2954.672
0.521	1.207	1918.632
0.525	1.491	1581.196
0.440	1.339	1662.068
0.552	1.332	1176.349
0.489	1.291	1758.268
0.462	1.235	1563.826
0.529	1.489	1414.696
0.511	1.551	1372.239
0.493	1.317	1702.451
0.455	1.217	1815.489
0.532	1.397	2084.567
0.512	1.279	1656.310
0.553	1.548	1543.180
0.466	1.350	1375.680
0.585	1.360	1481.616
0.467	1.056	2232.030
0.506	1.218	2243.200
0.531	1.846	1177.294
0.510	1.282	1263.099
0.457	1.253	1847.282
0.470	1.141	1645.836
0.541	1.327	1522.350
0.496	1.257	1643.883
0.475	1.367	2101.735
0.473	1.174	1910.196
0.423	0.957	2513.118
0.548	1.469	1937.787
0.514	1.136	1803.063
0.491	1.132	1786.013
0.509	1.247	1612.240
0.573	1.266	1334.834
0.485	1.200	1507.830
0.456	1.057	1821.954
0.550	1.420	1458.001
0.540	1.512	1685.147
0.531	1.489	1284.193
0.488	1.702	1307.922
0.549	1.105	1415.110
0.489	1.281	1840.952
0.480	1.236	2082.006
0.556	3.007	1300.199
0.492	1.459	1756.291
0.502	1.443	1350.132
0.555	1.685	1287.994
0.521	1.887	1276.313
0.538	1.610	1369.893
0.511	1.341	1532.009
0.558	1.224	1542.411
0.522	1.757	1985.546
0.407	0.916	2221.866
0.513	1.933	1269.006
0.516	1.385	1354.803
0.484	1.202	2261.344
0.390	1.086	2235.532
0.535	1.492	1038.223
0.507	1.381	1636.871
0.495	1.975	2020.876
0.647	2.335	830.404
0.507	1.487	1866.345
0.481	1.371	1444.153
0.440	1.334	1813.623
0.494	1.333	1988.187
0.503	1.801	2508.925
0.481	1.553	1638.827
0.483	1.321	1553.023
0.526	1.206	1430.560
0.488	1.180	1916.067
0.513	1.326	1437.773
0.485	1.389	1213.826
0.523	1.463	1222.125
0.528	2.197	2232.825
0.494	1.115	1622.972
0.505	1.294	1468.394
0.494	1.388	1412.755
0.483	1.218	1607.986
0.552	1.323	1187.563
0.456	1.073	2349.305
0.484	1.168	1901.253
0.433	1.145	2119.387
0.476	1.547	1937.611
0.486	1.520	1269.168
0.562	1.812	1148.244
0.470	1.092	1783.707
0.458	1.072	1916.862
0.497	1.184	2223.425
0.511	1.854	1152.711
0.508	1.523	1348.660
0.511	1.800	912.996
0.489	1.367	2193.933
0.473	1.135	1623.257
0.493	1.222	1569.577
0.625	2.186	1108.424
0.554	1.384	1241.340
0.495	1.365	1418.465
0.530	1.182	1601.232
0.484	1.394	1938.852
0.554	1.309	1171.671
0.472	1.234	1995.606
0.550	1.705	1405.938
0.469	1.231	1605.034
0.574	1.474	1251.259
0.553	1.585	1346.068
0.512	1.101	1617.152
0.597	1.351	1150.039
0.487	1.123	1663.287
0.594	1.383	1080.031
0.554	1.455	2181.261
0.534	1.287	1955.200
0.564	1.565	1187.564
0.556	2.928	1015.984
0.508	1.443	1995.393
